Awards,Awards Nominated,Awards Wins,Oscar Nominations,Oscar Wins,Primetime Emmys Nominations,Primetime Emmys Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
2 wins & 7 nominations.,7,2,0,0,0,0,0,0,0,0
14 wins & 22 nominations.,22,14,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
12 nominations.,12,0,0,0,0,0,0,0,0,0
5 wins & 34 nominations.,34,5,0,0,0,0,0,0,0,0
Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,3,1,0,0,1,0,0,0,0,0
9 nominations.,9,0,0,0,0,0,0,0,0,0
8 nominations.,8,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
10 wins & 22 nominations.,22,10,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,74,21,0,0,0,0,2,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins & 10 nominations.,10,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
8 wins & 10 nominations.,10,8,0,0,0,0,0,0,0,0
2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,0
2 wins & 8 nominations.,8,2,0,0,0,0,0,0,0,0
2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
6 wins & 2 nominations.,2,6,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
14 wins & 17 nominations.,17,14,0,0,0,0,0,0,0,0
3 wins & 7 nominations.,7,3,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
5 wins & 2 nominations.,2,5,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
13 wins & 7 nominations.,7,13,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 win & 15 nominations.,15,1,0,0,0,0,0,0,0,0
1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,0
1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,0
3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
5 nominations.,5,0,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
Nominated for 1 Oscar. Another 25 wins & 51 nominations.,52,25,1,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
8 wins & 20 nominations.,20,8,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
5 wins & 12 nominations.,12,5,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,0
7 wins & 5 nominations.,5,7,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
2 wins & 6 nominations.,6,2,0,0,0,0,0,0,0,0
1 win & 14 nominations.,14,1,0,0,0,0,0,0,0,0
Nominated for 3 Oscars. Another 13 wins & 40 nominations.,43,13,3,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win & 9 nominations.,9,1,0,0,0,0,0,0,0,0
8 wins & 6 nominations.,6,8,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
8 wins & 17 nominations.,17,8,0,0,0,0,0,0,0,0
4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
5 wins.,0,5,0,0,0,0,0,0,0,0
27 wins & 31 nominations.,31,27,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
4 wins.,0,4,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
5 wins.,0,5,0,0,0,0,0,0,0,0
2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Nominated for 1 Oscar. Another 11 wins & 24 nominations.,25,11,1,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
21 nominations.,21,0,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
7 wins & 9 nominations.,9,7,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 wins & 32 nominations.,32,3,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
4 wins & 6 nominations.,6,4,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Won 6 Golden Globes. Another 80 wins & 310 nominations.,310,86,0,0,0,0,0,6,0,0
18 wins & 7 nominations.,7,18,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,26,3,0,0,0,0,3,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
5 wins & 25 nominations.,25,5,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
11 wins.,0,11,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
6 wins & 1 nomination.,1,6,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
5 wins & 9 nominations.,9,5,0,0,0,0,0,0,0,0
5 wins & 7 nominations.,7,5,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
4 wins & 5 nominations.,5,4,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
4 wins.,0,4,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
36 wins & 20 nominations.,20,36,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
12 nominations.,12,0,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
5 wins & 6 nominations.,6,5,0,0,0,0,0,0,0,0
1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,0
1 win & 5 nominations.,5,1,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4 wins & 1 nomination.,1,4,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins & 19 nominations.,19,2,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
Nominated for 2 Oscars. Another 23 wins & 99 nominations.,101,23,2,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
10 wins & 24 nominations.,24,10,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
26 wins & 18 nominations.,18,26,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
Nominated for 5 Oscars. Another 26 wins & 88 nominations.,93,26,5,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
3 nominations.,3,0,0,0,0,0,0,0,0,0
3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
Nominated for 1 Oscar. Another 2 wins & 4 nominations.,5,2,1,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
5 nominations.,5,0,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
4 nominations.,4,0,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
1 win & 9 nominations.,9,1,0,0,0,0,0,0,0,0
2 wins & 1 nomination.,1,2,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
Nominated for 1 Oscar. Another 2 wins & 14 nominations.,15,2,1,0,0,0,0,0,0,0
28 wins & 16 nominations.,16,28,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,0
Won 1 Golden Globe. Another 10 wins & 57 nominations.,57,11,0,0,0,0,0,1,0,0
1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,0
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
8 wins & 6 nominations.,6,8,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
2 wins.,0,2,0,0,0,0,0,0,0,0
1 win.,0,1,0,0,0,0,0,0,0,0
5 wins & 2 nominations.,2,5,0,0,0,0,0,0,0,0
1 nomination.,1,0,0,0,0,0,0,0,0,0
2 nominations.,2,0,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,0
3 wins.,0,3,0,0,0,0,0,0,0,0
1 win & 6 nominations.,6,1,0,0,0,0,0,0,0,0
2 wins & 17 nominations.,17,2,0,0,0,0,0,0,0,0
