Date,Precipitation,Max Temp,Mean Temp,Min Temp
7/17/2012,0,36,31,24
7/18/2012,44.2,32,27,21
7/19/2012,1.52,23,21,19
7/20/2012,0,22,20,18
7/21/2012,0,23,20,16
7/22/2012,0,29,23,16
7/23/2012,0.51,30,24,19
7/24/2012,13.97,33,27,20
7/25/2012,0,28,23,18
7/26/2012,T,29,24,19
7/27/2012,0.51,26,22,18
7/28/2012,22.1,22,20,17
7/29/2012,T,23,21,18
7/30/2012,0,27,22,17
7/31/2012,12.19,23,20,17
8/1/2012,20.32,26,23,20
8/2/2012,0,30,25,20
8/3/2012,0,33,28,22
8/4/2012,0,28,26,23
8/5/2012,2.03,31,27,22
8/6/2012,0,29,26,22
8/7/2012,0,25,22,19
8/8/2012,0,28,24,19
8/9/2012,0,28,24,21
8/10/2012,29.72,29,25,21
8/11/2012,0,27,24,22
8/12/2012,0.25,29,26,22
8/13/2012,0,30,26,22
8/14/2012,0,28,25,21
8/15/2012,21.08,29,24,19
8/16/2012,T,29,24,19
8/17/2012,T,30,24,19
8/18/2012,1.02,22,20,18
8/19/2012,0,23,19,16
8/20/2012,0,24,21,17
8/21/2012,T,28,24,19
8/22/2012,0,26,22,19
8/23/2012,0,31,25,19
8/24/2012,0,26,23,20
8/25/2012,0,25,22,19
8/26/2012,0,24,21,18
8/27/2012,0,29,23,17
8/28/2012,3.81,30,25,20
8/29/2012,0,24,21,17
8/30/2012,0,28,22,16
8/31/2012,0,32,26,20
9/1/2012,0,27,22,17
9/2/2012,T,23,20,17
9/3/2012,0,22,19,15
9/4/2012,11.18,23,20,17
9/5/2012,16.76,28,23,19
9/6/2012,0,26,22,18
9/7/2012,10.92,28,24,20
9/8/2012,T,28,24,21
9/9/2012,T,24,21,17
9/10/2012,0,21,17,13
9/11/2012,0,23,17,12
9/12/2012,0,23,17,12
9/13/2012,0,28,22,16
9/14/2012,0,27,22,16
9/15/2012,3.05,23,19,15
9/16/2012,0,22,17,12
9/17/2012,0,21,17,12
9/18/2012,2.29,24,19,14
9/19/2012,15.49,22,18,13
9/20/2012,0,17,14,11
9/21/2012,0,17,14,11
9/22/2012,0,19,17,13
9/23/2012,0.51,22,18,13
9/24/2012,0,19,15,11
9/25/2012,0,23,16,9
9/26/2012,T,23,19,15
9/27/2012,0,21,17,13
9/28/2012,20.07,14,13,12
9/29/2012,0.51,14,13,12
9/30/2012,5.33,15,13,12
10/1/2012,0,20,15,10
10/2/2012,0.76,22,18,13
10/3/2012,2.03,18,17,15
10/4/2012,0.76,17,16,15
10/5/2012,0,24,19,14
10/6/2012,1.52,26,19,12
10/7/2012,2.79,14,12,9
10/8/2012,0,13,11,8
10/9/2012,T,14,13,12
10/10/2012,3.56,17,14,11
10/11/2012,0,15,11,7
10/12/2012,0.76,12,8,4
10/13/2012,0,12,7,2
10/14/2012,4.83,19,14,8
10/15/2012,0.51,23,19,16
10/16/2012,1.52,17,12,7
10/17/2012,0,13,9,6
10/18/2012,0,16,11,7
10/19/2012,1.52,20,16,12
10/20/2012,4.06,23,19,14
10/21/2012,0,18,14,9
10/22/2012,0,20,16,11
10/23/2012,0,19,15,11
10/24/2012,0,13,11,8
10/25/2012,0,15,11,7
10/26/2012,0,19,14,8
10/27/2012,0,16,13,9
10/28/2012,2.03,13,12,11
10/29/2012,26.92,16,14,12
10/30/2012,12.45,17,14,11
10/31/2012,0.51,13,11,8
11/1/2012,0,14,11,7
11/2/2012,0.76,11,9,7
11/3/2012,0,12,9,6
11/4/2012,0,12,8,3
11/5/2012,0,7,4,1
11/6/2012,0,5,2,-1
11/7/2012,8.38,7,4,0
11/8/2012,5.33,4,2,0
11/9/2012,0,2,8,3
11/10/2012,0,3,9,4
11/11/2012,0,6,11,4
11/12/2012,0,1,14,8
11/13/2012,7.37,1,11,4
11/14/2012,0,7,5,2
11/15/2012,0,5,3,1
11/16/2012,0,7,4,2
11/17/2012,0,8,6,2
11/18/2012,0,8,4,1
11/19/2012,0,9,5,1
11/20/2012,0,9,5,1
11/21/2012,0,9,7,3
11/22/2012,0,10,7,4
11/23/2012,0,9,6,2
11/24/2012,T,9,5,1
11/25/2012,0,4,2,-1
11/26/2012,0,8,4,1
11/27/2012,3.81,4,3,1
11/28/2012,T,2,1,0
11/29/2012,0,6,3,0
11/30/2012,0,3,1,-1
12/1/2012,0.76,0,-1,-2
12/2/2012,T,11,6,0
12/3/2012,0,15,10,5
12/4/2012,0.25,14,9,4
12/5/2012,T,14,7,1
12/6/2012,0,5,2,-1
12/7/2012,0.76,7,3,-1
12/8/2012,8.64,8,7,6
12/9/2012,2.03,9,7,5
12/10/2012,14.22,16,11,6
12/11/2012,T,13,7,1
12/12/2012,0,4,2,-1
12/13/2012,0,6,2,-2
12/14/2012,0,9,4,-1
12/15/2012,0,4,3,1
12/16/2012,6.35,4,3,1
12/17/2012,12.19,7,5,3
12/18/2012,21.84,10,8,5
12/19/2012,T,7,6,3
12/20/2012,T,6,3,1
12/21/2012,16.51,11,7,3
12/22/2012,0,3,1,-1
