Word,Frequency,Rank
next,532,453
open,532,454
fell,528,455
holy,524,456
above,523,457
Ahab,518,458
cities,518,459
daughter,518,460
others,518,461
At,517,462
return,516,463
turn,514,464
certain,513,465
least,512,466
glory,511,467
Yes,510,468
sun,510,469
coming,509,470
flesh,509,471
ground,509,472
manner,509,473
sister,508,474
Turnbull,507,475
hold,507,476
spirit,505,477
child,504,478
passed,504,479
Anne,503,480
perhaps,503,481
truth,503,482
Not,502,483
sir,502,484
cause,500,485
sin,496,486
afraid,495,487
King,494,488
leave,493,489
wish,491,490
got,490,491
matter,490,492
since,490,493
Syme,484,494
commanded,484,495
priests,484,496
evening,483,497
eye,483,498
By,482,499
Therefore,482,500
lay,482,501
replied,481,502
until,481,503
36,477,504
alone,477,505
fall,477,506
family,475,507
kind,471,508
less,471,509
true,470,510
walk,469,511
die,465,512
friends,465,513
times,464,514
35,462,515
behind,461,516
towards,461,517
Is,458,518
twenty,458,519
answer,457,520
John,456,521
toward,455,522
tree,455,523
bread,454,524
drink,453,525
ten,453,526
boy,450,527
midst,450,528
black,448,529
These,446,530
along,445,531
waters,445,532
pray,442,533
silver,442,534
hour,440,535
money,439,536
Do,438,537
kept,437,538
second,437,539
Im,436,540
bear,435,541
war,434,542
One,433,543
large,431,544
Lady,429,545
feel,425,546
mighty,424,547
joy,423,548
37,422,549
Come,422,550
living,422,551
reason,422,552
wicked,420,553
course,419,554
field,419,555
fine,419,556
From,417,557
understand,416,558
Harriet,415,559
spoken,415,560
MacIan,413,561
help,411,562
pleasure,411,563
often,410,564
returned,408,565
garden,407,566
Or,406,567
ready,405,568
Saul,402,569
altar,402,570
haue,402,571
Heaven,400,572
country,400,573
dwell,400,574
able,399,575
burnt,399,576
dark,399,577
person,399,578
broken,396,579
nations,396,580
ask,395,581
written,394,582
short,393,583
Ill,390,584
Alice,389,585
On,388,586
Weston,388,587
38,387,588
strange,386,589
bed,385,590
anything,382,591
laid,381,592
ought,381,593
table,381,594
women,381,595
sweet,379,596
ran,377,597
itself,376,598
strength,376,599
Where,374,600
congregation,374,601
faith,373,602
judgment,373,603
trees,372,604
business,369,605
gate,368,606
Her,366,607
chief,366,608
walked,365,609
received,364,610
Yet,363,611
meet,363,612
send,363,613
40,361,614
Jacob,361,615
Son,361,616
kingdom,361,617
glad,360,618
works,359,619
book,358,620
boat,357,621
either,357,622
wise,357,623
Knightley,356,624
Ham,354,625
certainly,353,626
daughters,353,627
hair,352,628
doubt,351,629
wall,351,630
opened,347,631
red,347,632
remember,347,633
six,346,634
lost,343,635
suddenly,341,636
suppose,340,637
knowledge,339,638
Which,337,639
honour,337,640
meat,337,641
39,336,642
Nor,335,643
deal,333,644
hard,333,645
month,333,646
praise,332,647
talk,332,648
fruit,330,649
point,330,650
tabernacle,330,651
seed,328,652
wood,328,653
immediately,326,654
mans,326,655
sound,326,656
making,325,657
seek,325,658
offer,324,659
silence,324,660
mercy,323,661
arm,322,662
wind,322,663
41,321,664
top,321,665
whales,321,666
Aaron,320,667
Elton,320,668
beyond,320,669
enemies,320,670
letter,320,671
Go,319,672
bad,319,673
wilderness,319,674
become,318,675
delivered,317,676
past,317,677
read,316,678
wine,316,679
places,315,680
cry,314,681
gathered,314,682
mount,314,683
continued,313,684
deep,312,685
river,311,686
rose,311,687
save,311,688
third,311,689
thoughts,311,690
Thy,310,691
Ye,310,692
seeing,310,693
ways,310,694
righteousness,309,695
stone,309,696
used,309,697
free,308,698
sake,308,699
Here,307,700
carried,307,701
company,307,702
destroy,307,703
fight,307,704
appeared,306,705
longer,306,706
run,306,707
forward,305,708
sit,305,709
anger,304,710
fast,304,711
low,304,712
party,304,713
hardly,303,714
hosts,303,715
sense,303,716
wild,303,717
After,302,718
covenant,302,719
green,302,720
lady,302,721
Colonel,301,722
fair,301,723
followed,301,724
lord,301,725
possible,301,726
GOD,300,727
oil,300,728
use,300,729
already,299,730
darkness,299,731
died,299,732
gods,299,733
ill,298,734
judge,298,735
shew,298,736
born,296,737
close,295,738
idea,295,739
Solomon,294,740
care,294,741
common,294,742
seem,294,743
THE,293,744
comes,293,745
vain,292,746
CHAPTER,291,747
means,291,748
Babylon,290,749
battle,289,750
cant,289,751
thyself,289,752
yourself,289,753
fish,288,754
spoke,288,755
feelings,286,756
number,286,757
sing,286,758
deliver,285,759
perfect,285,760
please,285,761
princes,285,762
Jane,284,763
morrow,284,764
Mary,283,765
became,283,766
Their,282,767
blue,282,768
captain,282,769
cometh,282,770
gentleman,282,771
sleep,281,772
standing,281,773
window,281,774
iniquity,280,775
husband,279,776
ships,279,777
Wherefore,278,778
Woodhouse,278,779
case,278,780
need,278,781
wait,278,782
wonder,278,783
early,277,784
heads,277,785
silent,277,786
Because,276,787
iron,276,788
length,276,789
receive,276,790
added,275,791
beginning,275,792
concerning,275,793
line,275,794
surely,273,795
visit,273,796
wanted,273,797
pretty,272,798
serve,272,799
cold,271,800
multitude,271,801
change,270,802
girl,270,803
offerings,270,804
spirits,270,805
42,269,806
except,268,807
general,268,808
instant,267,809
pleased,267,810
fellow,266,811
subject,266,812
Be,265,813
Levites,265,814
twelve,264,815
44,263,816
Brown,263,817
filled,263,818
host,263,819
lest,263,820
rise,263,821
Jews,262,822
doing,262,823
Philistines,261,824
Your,261,825
secret,261,826
foot,260,827
wisdom,260,828
lie,259,829
lived,259,830
real,259,831
doth,258,832
held,258,833
Enter,257,834
play,257,835
town,257,836
Whale,256,837
wrong,256,838
break,254,839
comfort,254,840
tribe,254,841
Elliot,253,842
account,253,843
bare,253,844
beautiful,253,845
houses,253,846
prophet,253,847
sometimes,253,848
thirty,253,849
ears,252,850
mothers,252,851
mountains,252,852
question,252,853
seems,252,854
stones,251,855
wilt,251,856
yea,250,857
ark,249,858
prophets,249,859
righteous,249,860
stay,249,861
disciples,248,862
therein,247,863
Take,246,864
believed,246,865
late,246,866
state,246,867
taking,246,868
throne,246,869
sitting,245,870
smote,245,871
Susan,244,872
entered,244,873
smile,244,874
departed,243,875
horses,243,876
order,243,877
wont,243,878
minutes,242,879
sacrifice,242,880
speaking,242,881
talking,242,882
beast,241,883
hat,241,884
inheritance,241,885
lifted,241,886
ones,241,887
Abraham,240,888
Though,240,889
arms,240,890
caught,240,891
dwelt,240,892
master,240,893
nature,240,894
sky,240,895
bow,239,896
bright,239,897
plain,239,898
thats,239,899
understanding,239,900
wrath,239,901
command,238,902
follow,238,903
met,238,904
perfectly,238,905
temple,238,906
Spirit,237,907
hill,236,908
story,236,909
43,235,910
grace,235,911
sisters,235,912
tongue,235,913
angel,234,914
built,234,915
loved,234,916
human,233,917
kill,233,918
trouble,233,919
thence,232,920
trust,232,921
turning,232,922
Dashwood,231,923
Joseph,231,924
Stubb,231,925
afterwards,231,926
hours,231,927
lips,231,928
rich,231,929
spread,231,930
desire,230,931
happiness,230,932
thinking,230,933
Louisa,229,934
begat,229,935
greater,229,936
stranger,229,937
yourselves,229,938
Pharaoh,228,939
blessed,228,940
song,228,941
Edward,227,942
across,227,943
fifty,227,944
fact,226,945
Queequeg,225,946
struck,225,947
show,224,948
Caesar,223,949
Paul,223,950
drew,223,951
everything,223,952
seat,223,953
shut,223,954
talked,223,955
48,222,956
enter,222,957
obliged,222,958
offered,222,959
particular,222,960
service,222,961
ear,221,962
inhabitants,221,963
Shall,220,964
grass,220,965
watch,220,966
forty,219,967
Joshua,218,968
Will,218,969
cloud,218,970
east,218,971
heavy,218,972
mountain,218,973
stars,218,974
walking,218,975
Ive,217,976
acquaintance,217,977
different,217,978
big,216,979
noise,216,980
led,215,981
opinion,215,982
presence,215,983
sheep,215,984
tried,215,985
sorry,214,986
around,213,987
character,213,988
cubits,213,989
deck,213,990
mad,213,991
natural,213,992
taste,213,993
worse,213,994
arose,212,995
figure,212,996
bound,211,997
fat,211,998
46,210,999
Fairfax,210,1000
families,210,1001
forget,210,1002
giving,210,1003
Buster,209,1004
Such,209,1005
clear,209,1006
hearts,209,1007
purpose,209,1008
says,209,1009
45,208,1010
Little,208,1011
ashamed,208,1012
exactly,208,1013
pay,208,1014
try,208,1015
Churchill,207,1016
Dr,207,1017
Have,207,1018
beside,207,1019
charge,207,1020
court,207,1021
faces,207,1022
feeling,207,1023
reign,207,1024
age,206,1025
clothes,206,1026
destroyed,206,1027
happened,206,1028
slew,206,1029
Frank,205,1030
Man,205,1031
Our,205,1032
equal,205,1033
fallen,205,1034
fled,205,1035
interest,205,1036
names,205,1037
streets,205,1038
sudden,205,1039
Jennings,204,1040
fancy,204,1041
horse,204,1042
slain,204,1043
sought,204,1044
appear,203,1045
gates,203,1046
meant,203,1047
Lucy,201,1048
clean,201,1049
road,201,1050
shame,201,1051
Are,200,1052
attention,200,1053
beasts,200,1054
countenance,200,1055
promise,200,1056
Jordan,199,1057
broad,199,1058
carry,199,1059
dare,199,1060
form,199,1061
maam,199,1062
boats,198,1063
object,198,1064
unclean,198,1065
loud,197,1066
pain,197,1067
repeated,197,1068
vessels,197,1069
heavens,196,1070
north,196,1071
rejoice,196,1072
touch,196,1073
49,195,1074
youth,195,1075
delight,194,1076
favour,194,1077
satisfied,194,1078
Some,193,1079
pleasant,193,1080
prepared,193,1081
rain,193,1082
carriage,192,1083
looks,192,1084
months,192,1085
south,192,1086
valley,192,1087
Wentworth,191,1088
ago,191,1089
beauty,191,1090
mere,191,1091
sins,191,1092
build,190,1093
throughout,190,1094
Peter,189,1095
dinner,189,1096
entirely,189,1097
reigned,188,1098
write,188,1099
hid,187,1100
ladies,187,1101
moved,187,1102
running,187,1103
Good,186,1104
aside,186,1105
conversation,186,1106
neck,186,1107
nigh,186,1108
usual,186,1109
Did,185,1110
alive,185,1111
chance,185,1112
grave,185,1113
street,185,1114
worship,185,1115
witness,184,1116
Even,183,1117
enemy,183,1118
fixed,183,1119
minute,183,1120
remain,183,1121
remained,183,1122
whatever,183,1123
wished,183,1124
Every,182,1125
commandment,182,1126
fields,182,1127
golden,182,1128
regard,182,1129
Ah,181,1130
Willoughby,181,1131
elders,181,1132
front,181,1133
gather,181,1134
goes,181,1135
grew,181,1136
instead,181,1137
married,181,1138
rising,181,1139
speech,181,1140
breath,180,1141
dream,180,1142
farther,180,1143
knows,180,1144
proud,180,1145
sick,180,1146
vast,180,1147
119,179,1148
raised,179,1149
sign,179,1150
50,178,1151
boys,178,1152
fresh,178,1153
further,178,1154
moon,178,1155
vs,178,1156
wherein,178,1157
bones,177,1158
cattle,177,1159
creature,177,1160
cross,177,1161
pieces,177,1162
pure,177,1163
tears,177,1164
Starbuck,176,1165
While,176,1166
doors,176,1167
47,175,1168
Ephraim,175,1169
covered,175,1170
hate,175,1171
former,174,1172
leaves,174,1173
self,174,1174
several,174,1175
taught,174,1176
wide,174,1177
angry,173,1178
determined,173,1179
laugh,173,1180
nobody,173,1181
stopped,172,1182
commandments,171,1183
counsel,171,1184
London,170,1185
appearance,170,1186
nation,170,1187
proper,170,1188
view,170,1189
51,169,1190
Gods,169,1191
curious,169,1192
grow,169,1193
merely,169,1194
piece,169,1195
respect,169,1196
situation,169,1197
straight,169,1198
English,168,1199
Moab,168,1200
eight,168,1201
hills,168,1202
pride,168,1203
Benjamin,167,1204
begin,167,1205
burn,167,1206
desolate,167,1207
drawing,167,1208
especially,167,1209
kindness,167,1210
makes,167,1211
An,166,1212
Archer,166,1213
chosen,166,1214
didst,166,1215
expected,166,1216
hearing,166,1217
middle,166,1218
rock,166,1219
salvation,166,1220
worth,166,1221
Holy,165,1222
Its,165,1223
border,165,1224
church,165,1225
corner,165,1226
exclaimed,165,1227
parts,165,1228
terrible,165,1229
bit,164,1230
buried,164,1231
captains,164,1232
directly,164,1233
excellent,164,1234
impossible,164,1235
possession,164,1236
quiet,164,1237
shewed,164,1238
draw,163,1239
easy,163,1240
promised,163,1241
saved,163,1242
stop,163,1243
tone,163,1244
yes,163,1245
Brutus,162,1246
affection,162,1247
appointed,162,1248
camp,162,1249
distance,162,1250
ere,162,1251
lo,162,1252
Charles,161,1253
blind,161,1254
escape,161,1255
hell,161,1256
Arthur,160,1257
devil,160,1258
didnt,160,1259
heathen,160,1260
killed,160,1261
spring,160,1262
teach,160,1263
Give,159,1264
Hartfield,159,1265
bless,159,1266
crew,159,1267
sorrow,159,1268
Old,158,1269
Smith,158,1270
dust,158,1271
gentlemen,158,1272
manners,158,1273
marry,158,1274
safe,158,1275
shape,158,1276
wings,158,1277
Moreover,157,1278
Professor,157,1279
consider,157,1280
persons,157,1281
sides,157,1282
summer,157,1283
waves,157,1284
assure,156,1285
thick,156,1286
Cecilia,155,1287
Samuel,155,1288
coat,155,1289
feast,155,1290
grey,155,1291
health,155,1292
removed,155,1293
Hell,154,1294
beneath,154,1295
fit,154,1296
forgotten,154,1297
future,154,1298
image,154,1299
lead,154,1300
wives,154,1301
Bru,153,1302
broke,153,1303
declare,153,1304
dry,153,1305
fond,153,1306
likely,153,1307
understood,153,1308
Zion,152,1309
clouds,152,1310
following,152,1311
hes,152,1312
knowing,152,1313
meeting,152,1314
settled,152,1315
shadow,152,1316
lands,151,1317
sail,151,1318
surprise,151,1319
worthy,151,1320
Francisco,150,1321
coast,150,1322
lion,150,1323
pale,150,1324
yours,150,1325
degree,149,1326
fortune,149,1327
necessary,149,1328
passage,149,1329
seas,149,1330
suffer,149,1331
thither,149,1332
week,149,1333
Jeremiah,148,1334
box,148,1335
brass,148,1336
companions,148,1337
edge,148,1338
glass,148,1339
precious,148,1340
simple,148,1341
depart,147,1342
difference,147,1343
fool,147,1344
greatest,147,1345
waiting,147,1346
Earth,146,1347
food,146,1348
observed,146,1349
slowly,146,1350
souls,146,1351
Bear,145,1352
due,145,1353
lamb,145,1354
measure,145,1355
probably,145,1356
shore,145,1357
Nature,144,1358
blow,144,1359
danger,144,1360
joined,144,1361
journey,144,1362
laughing,144,1363
pity,144,1364
tall,144,1365
utterly,144,1366
Manasseh,143,1367
corn,143,1368
finished,143,1369
flowers,143,1370
grown,143,1371
lying,143,1372
soft,143,1373
teeth,143,1374
theres,143,1375
wrote,143,1376
Look,142,1377
everybody,142,1378
false,142,1379
incense,142,1380
marriage,142,1381
prayer,142,1382
sad,142,1383
spoil,142,1384
whatsoever,142,1385
board,141,1386
hot,141,1387
lies,141,1388
lot,141,1389
meaning,141,1390
neighbour,141,1391
quick,141,1392
rule,141,1393
sanctuary,141,1394
Piedro,140,1395
beloved,140,1396
curiosity,140,1397
race,140,1398
sharp,140,1399
England,139,1400
crown,139,1401
engaged,139,1402
moments,139,1403
selfe,139,1404
supposed,139,1405
wickedness,139,1406
See,138,1407
bottom,138,1408
burst,138,1409
buy,138,1410
catch,138,1411
changed,138,1412
confidence,138,1413
empty,138,1414
generations,138,1415
hide,138,1416
justice,138,1417
leaving,138,1418
lives,138,1419
possess,138,1420
sabbath,138,1421
somewhat,138,1422
Adam,137,1423
Farmer,137,1424
Joab,137,1425
Macb,137,1426
Nay,137,1427
continually,137,1428
hither,137,1429
nearly,137,1430
notice,137,1431
ourselves,137,1432
paper,137,1433
remembered,137,1434
snow,137,1435
statutes,137,1436
warm,137,1437
Satan,136,1438
altogether,136,1439
companion,136,1440
curse,136,1441
hence,136,1442
honest,136,1443
particularly,136,1444
space,136,1445
spot,136,1446
whosoever,136,1447
Sperm,135,1448
Was,135,1449
bowed,135,1450
calm,135,1451
drawn,135,1452
force,135,1453
goeth,135,1454
higher,135,1455
lower,135,1456
mast,135,1457
passing,135,1458
public,135,1459
seventh,135,1460
smiling,135,1461
smoke,135,1462
thank,135,1463
yellow,135,1464
Dont,134,1465
Had,134,1466
dress,134,1467
eaten,134,1468
fill,134,1469
formed,134,1470
letters,134,1471
mistress,134,1472
music,134,1473
skin,134,1474
welcome,134,1475
Very,133,1476
divine,133,1477
flock,133,1478
hurt,133,1479
move,133,1480
society,133,1481
whence,133,1482
wrought,133,1483
captivity,132,1484
consequence,132,1485
easily,132,1486
height,132,1487
likewise,132,1488
maid,132,1489
maketh,132,1490
numbered,132,1491
observe,132,1492
sold,132,1493
tail,132,1494
vanity,132,1495
Gentiles,131,1496
Neither,131,1497
Only,131,1498
Walter,131,1499
bird,131,1500
declared,131,1501
feared,131,1502
judgments,131,1503
laughed,131,1504
perish,131,1505
reached,131,1506
singing,131,1507
single,131,1508
spite,131,1509
temper,131,1510
tribes,131,1511
walls,131,1512
weather,131,1513
whither,131,1514
Evan,130,1515
Isaac,130,1516
Just,130,1517
army,130,1518
brothers,130,1519
distant,130,1520
fierce,130,1521
greatly,130,1522
handsome,130,1523
huge,130,1524
named,130,1525
paid,130,1526
prince,130,1527
Nothing,129,1528
Perhaps,129,1529
circumstances,129,1530
drive,129,1531
equally,129,1532
mark,129,1533
placed,129,1534
spent,129,1535
village,129,1536
Hezekiah,128,1537
basket,128,1538
below,128,1539
choose,128,1540
conduct,128,1541
eternal,128,1542
hearken,128,1543
prison,128,1544
quickly,128,1545
sinned,128,1546
started,128,1547
unknown,128,1548
calling,127,1549
foolish,127,1550
growing,127,1551
guinea,127,1552
hole,127,1553
increase,127,1554
mayest,127,1555
nose,127,1556
occasion,127,1557
rivers,127,1558
steps,127,1559
Bates,126,1560
Hear,126,1561
White,126,1562
breakfast,126,1563
brown,126,1564
considered,126,1565
ease,126,1566
effect,126,1567
fail,126,1568
giveth,126,1569
lift,126,1570
miles,126,1571
sore,126,1572
thrown,126,1573
west,126,1574
Can,125,1575
Highbury,125,1576
flying,125,1577
getting,125,1578
hurry,125,1579
serious,125,1580
touched,125,1581
Samaria,124,1582
abroad,124,1583
labour,124,1584
swear,124,1585
Bath,123,1586
Blessed,123,1587
Pequod,123,1588
Thats,123,1589
act,123,1590
faithful,123,1591
imagine,123,1592
raise,123,1593
shoulder,123,1594
Assyria,122,1595
Death,122,1596
Flambeau,122,1597
besides,122,1598
destruction,122,1599
loose,122,1600
nearer,122,1601
reproach,122,1602
slay,122,1603
Jonathan,121,1604
Yea,121,1605
angels,121,1606
instantly,121,1607
scarcely,121,1608
smite,121,1609
tender,121,1610
thanks,121,1611
Ghost,120,1612
Middleton,120,1613
agreeable,120,1614
birds,120,1615
branches,120,1616
burned,120,1617
caused,120,1618
engagement,120,1619
escaped,120,1620
learn,120,1621
leg,120,1622
linen,120,1623
naked,120,1624
news,120,1625
otherwise,120,1626
portion,120,1627
reward,120,1628
strangers,120,1629
Brandon,119,1630
Frederick,119,1631
Russell,119,1632
burning,119,1633
haste,119,1634
ocean,119,1635
plague,119,1636
pocket,119,1637
served,119,1638
shop,119,1639
songs,119,1640
suburbs,119,1641
superior,119,1642
trying,119,1643
vpon,119,1644
Upon,118,1645
beat,118,1646
daily,118,1647
extremely,118,1648
join,118,1649
judged,118,1650
suffered,118,1651
tis,118,1652
ball,117,1653
chariots,117,1654
everlasting,117,1655
garments,117,1656
generation,117,1657
poured,117,1658
shot,117,1659
tent,117,1660
whaling,117,1661
yesterday,117,1662
Surely,116,1663
advantage,116,1664
arise,116,1665
divided,116,1666
duty,116,1667
note,116,1668
pit,116,1669
riches,116,1670
supper,116,1671
woe,116,1672
Indeed,115,1673
allow,115,1674
beheld,115,1675
borne,115,1676
circumstance,115,1677
forgive,115,1678
fourth,115,1679
neighbours,115,1680
somehow,115,1681
violence,115,1682
voyage,115,1683
52,114,1684
OF,114,1685
Queen,114,1686
beard,114,1687
complete,114,1688
dreadful,114,1689
firstborn,114,1690
lose,114,1691
loss,114,1692
prey,114,1693
quarter,114,1694
rod,114,1695
vessel,114,1696
waste,114,1697
windows,114,1698
winds,114,1699
winter,114,1700
woods,114,1701
